id,name,basePrice,category,subcategory,collection,unit,itemsPerBox,width_cm,length_cm,thickness_mm,width_in,length_in,thickness_in,imageName,description
14121301,ADHESIVO DE PAROL GRIS,68690,PAREDES,ROLLO MARMOL,INTERIOR,Unit,1,60,300,0.08,23.62,9.84,0.003,14121301.webp,Adhesivo de pared en rollo gris...
14121303,ADHESIVO DE PARED EN ROLLO MARMOL,68690,PAREDES,ROLLO MARMOL,INTERIOR,Unit,1,60,300,0.08,23.62,9.84,0.003,14121303.webp,Adhesivo de pared en rollo marmol...
